"severity","type","message","component","line"
"MAJOR","CODE_SMELL","Replace this usage of 'Stream.collect(Collectors.toList())' with 'Stream.toList()' and ensure that the list is unmodified.","com.projet:adhesion-app:src/main/java/com/projet/adhesionapp/habit/service/DoseLogService.java","53"
"MAJOR","CODE_SMELL","Replace this usage of 'Stream.collect(Collectors.toList())' with 'Stream.toList()' and ensure that the list is unmodified.","com.projet:adhesion-app:src/main/java/com/projet/adhesionapp/habit/service/DoseLogService.java","64"
"CRITICAL","CODE_SMELL","Call transactional methods via an injected dependency instead of directly via 'this'.","com.projet:adhesion-app:src/main/java/com/projet/adhesionapp/habit/service/DoseLogService.java","144"
"CRITICAL","CODE_SMELL","Call transactional methods via an injected dependency instead of directly via 'this'.","com.projet:adhesion-app:src/main/java/com/projet/adhesionapp/habit/service/DoseLogService.java","146"
"INFO","CODE_SMELL","Complete the task associated to this TODO comment.","com.projet:adhesion-app:src/main/java/com/projet/adhesionapp/habit/service/DoseLogService.java","197"
"MAJOR","CODE_SMELL","Remove these unused method parameters ""from"", ""to"".","com.projet:adhesion-app:src/main/java/com/projet/adhesionapp/habit/service/DoseLogService.java","248"
"MAJOR","CODE_SMELL","Remove this unused method parameter ""answers"".","com.projet:adhesion-app:src/main/java/com/projet/adhesionapp/ai/service/OpenAIService.java","274"
"MAJOR","CODE_SMELL","%n should be used in place of \n to produce the platform-specific line separator.","com.projet:adhesion-app:src/main/java/com/projet/adhesionapp/ai/service/OpenAIService.java","290"
"MINOR","CODE_SMELL","Reduce the total number of break and continue statements in this loop to use at most one.","com.projet:adhesion-app:src/main/java/com/projet/adhesionapp/assessment/service/PsychologicalTestDataInitializer.java","46"
"MAJOR","CODE_SMELL","Remove this unused private ""createMARS5"" method.","com.projet:adhesion-app:src/main/java/com/projet/adhesionapp/assessment/service/PsychologicalTestDataInitializer.java","267"
"MAJOR","CODE_SMELL","Remove this unused private ""createBriefIPQ"" method.","com.projet:adhesion-app:src/main/java/com/projet/adhesionapp/assessment/service/PsychologicalTestDataInitializer.java","300"
"MAJOR","CODE_SMELL","Remove this unused private ""createSelfEfficacyScale"" method.","com.projet:adhesion-app:src/main/java/com/projet/adhesionapp/assessment/service/PsychologicalTestDataInitializer.java","351"
"MAJOR","CODE_SMELL","Remove this unused private ""createTreatmentSatisfactionScale"" method.","com.projet:adhesion-app:src/main/java/com/projet/adhesionapp/assessment/service/PsychologicalTestDataInitializer.java","393"
"MINOR","CODE_SMELL","Remove this unused ""midpoint"" local variable.","com.projet:adhesion-app:src/main/java/com/projet/adhesionapp/assessment/service/TestScoringService.java","96"
"MAJOR","CODE_SMELL","Remove this useless assignment to local variable ""midpoint"".","com.projet:adhesion-app:src/main/java/com/projet/adhesionapp/assessment/service/TestScoringService.java","96"
"MINOR","BUG","Use another way to initialize this instance.","com.projet:adhesion-app:src/main/java/com/projet/adhesionapp/assessment/service/TestSessionService.java","53"
"MAJOR","CODE_SMELL","Move the contents of this initializer to a standard constructor or to field initializers.","com.projet:adhesion-app:src/main/java/com/projet/adhesionapp/assessment/service/TestSessionService.java","54"
"INFO","CODE_SMELL","Complete the task associated to this TODO comment.","com.projet:adhesion-app:src/main/java/com/projet/adhesionapp/common/scheduler/ScheduledNotificationService.java","81"
"MAJOR","CODE_SMELL","This block of commented-out lines of code should be removed.","com.projet:adhesion-app:src/main/java/com/projet/adhesionapp/common/scheduler/ScheduledNotificationService.java","82"
"MINOR","BUG","Cast one of the operands of this multiplication operation to a ""long"".","com.projet:adhesion-app:src/main/java/com/projet/adhesionapp/identity/domain/User.java","132"
"CRITICAL","CODE_SMELL","Call transactional methods via an injected dependency instead of directly via 'this'.","com.projet:adhesion-app:src/main/java/com/projet/adhesionapp/identity/service/UserService.java","187"
"CRITICAL","CODE_SMELL","Call transactional methods via an injected dependency instead of directly via 'this'.","com.projet:adhesion-app:src/main/java/com/projet/adhesionapp/identity/service/UserService.java","203"
"CRITICAL","CODE_SMELL","Call transactional methods via an injected dependency instead of directly via 'this'.","com.projet:adhesion-app:src/main/java/com/projet/adhesionapp/identity/service/UserService.java","213"
"CRITICAL","CODE_SMELL","Refactor this method to reduce its Cognitive Complexity from 32 to the 15 allowed.","com.projet:adhesion-app:src/main/java/com/projet/adhesionapp/profile/service/PsychologicalProfileService.java","41"
"INFO","CODE_SMELL","A ""Brain Method"" was detected. Refactor it to reduce at least one of the following metrics: LOC from 69 to 64, Complexity from 19 to 14, Nesting Level from 4 to 2, Number of Variables from 21 to 6.","com.projet:adhesion-app:src/main/java/com/projet/adhesionapp/profile/service/PsychologicalProfileService.java","41"
"CRITICAL","CODE_SMELL","Define a constant instead of duplicating this literal ""anxiety"" 5 times.","com.projet:adhesion-app:src/main/java/com/projet/adhesionapp/profile/service/PsychologicalProfileService.java","88"
"CRITICAL","CODE_SMELL","Define a constant instead of duplicating this literal ""depression"" 5 times.","com.projet:adhesion-app:src/main/java/com/projet/adhesionapp/profile/service/PsychologicalProfileService.java","90"
"CRITICAL","CODE_SMELL","Define a constant instead of duplicating this literal ""motivation"" 5 times.","com.projet:adhesion-app:src/main/java/com/projet/adhesionapp/profile/service/PsychologicalProfileService.java","92"
"CRITICAL","CODE_SMELL","Define a constant instead of duplicating this literal ""selfEfficacy"" 5 times.","com.projet:adhesion-app:src/main/java/com/projet/adhesionapp/profile/service/PsychologicalProfileService.java","94"
"CRITICAL","CODE_SMELL","Define a constant instead of duplicating this literal ""socialSupport"" 5 times.","com.projet:adhesion-app:src/main/java/com/projet/adhesionapp/profile/service/PsychologicalProfileService.java","96"
"CRITICAL","CODE_SMELL","Define a constant instead of duplicating this literal ""healthLocus"" 4 times.","com.projet:adhesion-app:src/main/java/com/projet/adhesionapp/profile/service/PsychologicalProfileService.java","98"
"MAJOR","CODE_SMELL","%n should be used in place of \n to produce the platform-specific line separator.","com.projet:adhesion-app:src/main/java/com/projet/adhesionapp/profile/service/PsychologicalProfileService.java","222"
"MAJOR","CODE_SMELL","Remove this unused method parameter ""patientName"".","com.projet:adhesion-app:src/main/java/com/projet/adhesionapp/profile/service/PsychologicalProfileService.java","232"
"MINOR","CODE_SMELL","Remove this redundant block and ""yield"".","com.projet:adhesion-app:src/main/java/com/projet/adhesionapp/profile/service/PsychologicalProfileService.java","270"
"MINOR","CODE_SMELL","Remove this redundant block and ""yield"".","com.projet:adhesion-app:src/main/java/com/projet/adhesionapp/profile/service/PsychologicalProfileService.java","274"
"MINOR","CODE_SMELL","Remove this redundant block and ""yield"".","com.projet:adhesion-app:src/main/java/com/projet/adhesionapp/profile/service/PsychologicalProfileService.java","278"
"MINOR","CODE_SMELL","Remove this redundant block and ""yield"".","com.projet:adhesion-app:src/main/java/com/projet/adhesionapp/profile/service/PsychologicalProfileService.java","282"
"MINOR","CODE_SMELL","Remove this redundant block and ""yield"".","com.projet:adhesion-app:src/main/java/com/projet/adhesionapp/profile/service/PsychologicalProfileService.java","286"
"MAJOR","CODE_SMELL","Replace this usage of 'Stream.collect(Collectors.toList())' with 'Stream.toList()' and ensure that the list is unmodified.","com.projet:adhesion-app:src/main/java/com/projet/adhesionapp/profile/web/ProfileController.java","39"
"MAJOR","CODE_SMELL","Replace this usage of 'Stream.collect(Collectors.toList())' with 'Stream.toList()' and ensure that the list is unmodified.","com.projet:adhesion-app:src/main/java/com/projet/adhesionapp/profile/web/ProfileController.java","57"
"MAJOR","CODE_SMELL","Replace this usage of 'Stream.collect(Collectors.toList())' with 'Stream.toList()' and ensure that the list is unmodified.","com.projet:adhesion-app:src/main/java/com/projet/adhesionapp/recommendation/web/RecommendationController.java","25"
"MAJOR","CODE_SMELL","Replace this usage of 'Stream.collect(Collectors.toList())' with 'Stream.toList()' and ensure that the list is unmodified.","com.projet:adhesion-app:src/main/java/com/projet/adhesionapp/recommendation/web/RecommendationController.java","32"
"MAJOR","CODE_SMELL","Replace this usage of 'Stream.collect(Collectors.toList())' with 'Stream.toList()' and ensure that the list is unmodified.","com.projet:adhesion-app:src/main/java/com/projet/adhesionapp/recommendation/web/RecommendationController.java","39"
"MAJOR","CODE_SMELL","Extract this nested ternary operation into an independent statement.","com.projet:adhesion-app:src/main/java/com/projet/adhesionapp/treatment/service/TreatmentPlanService.java","52"
"MAJOR","CODE_SMELL","Remove these unused method parameters ""issues"", ""weeks"".","com.projet:adhesion-app:src/main/java/com/projet/adhesionapp/treatment/service/TreatmentPlanService.java","186"
"MAJOR","CODE_SMELL","Replace this usage of 'Stream.collect(Collectors.toList())' with 'Stream.toList()' and ensure that the list is unmodified.","com.projet:adhesion-app:src/main/java/com/projet/adhesionapp/treatment/service/TreatmentPlanService.java","262"
